cip13,lib_cip13,remboursement_total,rang,remboursement_cumule,part_cumulee
3400927948954,TRIUMEQ 50MG/600MG/300MG CPR 30,98067368.33,23,5353177447.16,23.600639249671335
3400941778766,"GILENYA 0,5MG GELULE 28",97964160.45,24,5451141607.61,24.032535414705798
3400930151105,"OZEMPIC 1 MG, SOLUTION INJECTABLE EN 1",96069661.35,25,5547211268.96,24.456079271179735
3400930075296,IBRANCE 100MG GELULE 21,95678015.38,26,5642889284.34,24.877896471785675
3400930199190,DUPIXENT 300MG SOL INJ STYLO 2ML 2,94165095.47,27,5737054379.809999,25.293043638124672
3400939632360,VICTOZA 18 MG SOL INJ STYLO 2,93180985.05,28,5830235364.86,25.70385214107478
3400927497940,TECFIDERA 240MG GELULE 56,93022451.93,29,5923257816.79,26.11396171651666
3400926649975,FORXIGA 10MG CPR 30,92064599.66,30,6015322416.45,26.5198483932966
3400921922684,XARELTO 15 MG CPR 28,91687111.50999999,31,6107009527.96,26.924070832016593
3400930000915,JANUMET 50MG/1000MG CPR 60,89318511.92,32,6196328039.88,27.31785078774358
3400930182550,DOVATO 50MG/300MG CPR 30,84208660.89,33,6280536700.7699995,27.689102861297982
3400930144213,LYNPARZA 150 MG CPR 8,83206894.23,34,6363743595,28.05593843011508
3400939901152,PREVENAR 13 SUSP INJ A SRG 1,82884021.38,35,6446627616.38,28.421350544221102
